Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Stnd Description,Underhood ID,Veh Class,Smog Rating,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HHNXV02.4SH3,small car,6,25,35,29,7,Yes
ACURA ILX,2.4,4,AMS-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HHNXV02.4SH3,small car,6,25,35,29,7,Yes
ACURA RLX,3.5,6,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,HHNXV03.5LK3,midsize car,8,29,30,29,7,Yes
ACURA RLX,3.5,6,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,HHNXV03.5LK3,midsize car,8,29,30,29,7,Yes
AUDI A4 Ultra,2,4,AMS-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HVGAJ02.0AAC,small car,6,27,37,31,7,Yes
AUDI A4 Ultra,2,4,AMS-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAJ02.0AAC,small car,6,27,37,31,7,Yes
BMW i3 BEV,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,HBMXV00.0I3B,small car,10,129,106,118,10,Elite
BMW i3 BEV,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,HBMXV00.0I3B,small car,10,129,106,118,10,Elite
BMW i3 BEV (60Ah),N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,HBMXV00.0I3B,small car,10,137,111,124,10,Elite
BMW i3 BEV (60Ah),N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,HBMXV00.0I3B,small car,10,137,111,124,10,Elite
BUICK Encore,1.4,4,SemiAuto-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,HGMXV01.4001,small SUV,6,27,33,30,7,Yes
BUICK Encore,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,HGMXV01.4001,small SUV,6,27,33,30,7,Yes
CHEVROLET Cruze,1.4,4,Man-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,HGMXV01.4001,small car,6,28,39,32,7,Yes
CHEVROLET Cruze,1.4,4,Man-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,HGMXV01.4001,small car,6,28,39,32,7,Yes
CHEVROLET Cruze,1.4,4,SemiAuto-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,HGMXV01.4001,small car,6,30,40,34,8,Yes
CHEVROLET Cruze,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,HGMXV01.4001,small car,6,30,40,34,8,Yes
CHEVROLET Cruze Hatchback,1.4,4,Man-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,HGMXV01.4001,small car,6,28,37,31,7,Yes
CHEVROLET Cruze Hatchback,1.4,4,Man-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,HGMXV01.4001,small car,6,28,37,31,7,Yes
CHEVROLET Cruze Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,HGMXV01.4001,small car,6,29,38,32,7,Yes
CHEVROLET Cruze Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,HGMXV01.4001,small car,6,29,38,32,7,Yes
